date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-11-06T20:00:00Z,12,Getafe,Cádiz CF,1,0,0,0,1,Getafe,Cádiz CF,Ricardo de Burgos
2023-11-10T20:00:00Z,13,Athletic,Celta,4,3,2,2,1,Athletic,Celta,Juan Pulido Santana
2023-11-11T13:00:00Z,13,Rayo Vallecano,Girona,1,2,1,1,1,Girona,Rayo Vallecano,Pablo González Fuertes
2023-11-11T15:15:00Z,13,Almería,Real Sociedad,1,3,0,0,2,Real Sociedad,Almería,Isidro Díaz de Mera
2023-11-11T17:30:00Z,13,Osasuna,Las Palmas,1,1,0,0,0,DRAW,DRAW,Jorge Figueroa Vázquez
2023-11-11T17:30:00Z,13,Granada,Getafe,1,1,1,1,0,DRAW,DRAW,Alejandro Muñiz Ruiz
2023-11-11T20:00:00Z,13,Real Madrid,Valencia,5,1,2,0,4,Real Madrid,Valencia,José Sánchez Martínez
2023-11-12T15:15:00Z,13,Barça,Alavés,2,1,0,1,1,Barça,Alavés,Mateo Busquets Ferrer
2023-11-12T17:30:00Z,13,Sevilla FC,Real Betis,1,1,0,0,0,DRAW,DRAW,Jesús Gil Manzano
2023-11-12T20:00:00Z,13,Atleti,Villarreal,3,1,1,1,2,Atleti,Villarreal,Francisco Hernández Maeso
2023-11-24T20:00:00Z,14,Alavés,Granada,3,1,2,0,2,Alavés,Granada,Javier Alberola Rojas
2023-11-25T13:00:00Z,14,Rayo Vallecano,Barça,1,1,1,0,0,DRAW,DRAW,José Munuera Montero
2023-11-25T15:15:00Z,14,Valencia,Celta,0,0,0,0,0,DRAW,DRAW,César Soto Grado
2023-11-25T17:30:00Z,14,Getafe,Almería,2,1,2,1,1,Getafe,Almería,Alejandro Hernández Hernández
2023-11-25T20:00:00Z,14,Atleti,Mallorca,1,0,0,0,1,Atleti,Mallorca,Juan Martínez Munuera
2023-11-26T13:00:00Z,14,Villarreal,Osasuna,3,1,0,0,2,Villarreal,Osasuna,Ricardo de Burgos
2023-11-26T15:15:00Z,14,Real Sociedad,Sevilla FC,2,1,2,0,1,Real Sociedad,Sevilla FC,Miguel Ortiz Arias
2023-11-26T17:30:00Z,14,Cádiz CF,Real Madrid,0,3,0,1,3,Real Madrid,Cádiz CF,Guillermo Cuadra Fernández
2023-11-26T20:00:00Z,14,Real Betis,Las Palmas,1,0,1,0,1,Real Betis,Las Palmas,Víctor García Verdura
2023-11-27T20:00:00Z,14,Girona,Athletic,1,1,0,0,0,DRAW,DRAW,Mario Melero López
2023-11-29T20:00:00Z,13,Mallorca,Cádiz CF,1,1,1,1,0,DRAW,DRAW,Javier Iglesias Villanueva
2023-12-01T20:00:00Z,15,Las Palmas,Getafe,2,0,1,0,2,Las Palmas,Getafe,Mateo Busquets Ferrer
2023-12-02T13:00:00Z,15,Girona,Valencia,2,1,0,0,1,Girona,Valencia,Javier Iglesias Villanueva
2023-12-02T15:15:00Z,15,Athletic,Rayo Vallecano,4,0,1,0,4,Athletic,Rayo Vallecano,Francisco Hernández Maeso
2023-12-02T17:30:00Z,15,Real Madrid,Granada,2,0,1,0,2,Real Madrid,Granada,Pablo González Fuertes
2023-12-02T20:00:00Z,15,Osasuna,Real Sociedad,1,1,1,1,0,DRAW,DRAW,Juan Pulido Santana
2023-12-03T13:00:00Z,15,Mallorca,Alavés,0,0,0,0,0,DRAW,DRAW,Jorge Figueroa Vázquez
2023-12-03T15:15:00Z,15,Almería,Real Betis,0,0,0,0,0,DRAW,DRAW,Alejandro Muñiz Ruiz
2023-12-03T17:30:00Z,15,Sevilla FC,Villarreal,1,1,0,0,0,DRAW,DRAW,Isidro Díaz de Mera
2023-12-03T20:00:00Z,15,Barça,Atleti,1,0,1,0,1,Barça,Atleti,José Sánchez Martínez
2023-12-04T20:00:00Z,15,Celta,Cádiz CF,1,1,0,1,0,DRAW,DRAW,Jesús Gil Manzano
2023-12-08T20:00:00Z,16,Getafe,Valencia,1,0,0,0,1,Getafe,Valencia,Guillermo Cuadra Fernández
2023-12-09T13:00:00Z,16,Alavés,Las Palmas,0,1,0,1,1,Las Palmas,Alavés,José Munuera Montero
2023-12-09T15:15:00Z,16,Real Betis,Real Madrid,1,1,0,0,0,DRAW,DRAW,César Soto Grado
2023-12-09T17:30:00Z,16,Villarreal,Real Sociedad,0,3,0,3,3,Real Sociedad,Villarreal,Mario Melero López
2023-12-09T20:00:00Z,16,Mallorca,Sevilla FC,1,0,1,0,1,Mallorca,Sevilla FC,Javier Alberola Rojas
2023-12-10T13:00:00Z,16,Atleti,Almería,2,1,2,0,1,Atleti,Almería,Ricardo de Burgos
2023-12-10T17:30:00Z,16,Cádiz CF,Osasuna,1,1,1,0,0,DRAW,DRAW,Juan Martínez Munuera
2023-12-10T20:00:00Z,16,Barça,Girona,2,4,1,2,2,Girona,Barça,Isidro Díaz de Mera
2023-12-11T20:00:00Z,16,Granada,Athletic,1,1,0,1,0,DRAW,DRAW,Miguel Ortiz Arias
2023-12-11T20:00:00Z,16,Rayo Vallecano,Celta,0,0,0,0,0,DRAW,DRAW,Víctor García Verdura
2023-12-15T20:00:00Z,17,Osasuna,Rayo Vallecano,1,0,0,0,1,Osasuna,Rayo Vallecano,Javier Iglesias Villanueva
2023-12-16T13:00:00Z,17,Celta,Granada,1,0,1,0,1,Celta,Granada,José Sánchez Martínez
2023-12-16T15:15:00Z,17,Athletic,Atleti,2,0,0,0,2,Athletic,Atleti,Jesús Gil Manzano
2023-12-16T17:30:00Z,17,Sevilla FC,Getafe,0,3,0,2,3,Getafe,Sevilla FC,Juan Pulido Santana
2023-12-16T20:00:00Z,17,Valencia,Barça,1,1,0,0,0,DRAW,DRAW,Miguel Ortiz Arias
2023-12-17T13:00:00Z,17,Almería,Mallorca,0,0,0,0,0,DRAW,DRAW,Pablo González Fuertes
2023-12-17T15:15:00Z,17,Real Sociedad,Real Betis,0,0,0,0,0,DRAW,DRAW,Mateo Busquets Ferrer
2023-12-17T17:30:00Z,17,Las Palmas,Cádiz CF,1,1,1,0,0,DRAW,DRAW,Alejandro Muñiz Ruiz
2023-12-17T20:00:00Z,17,Real Madrid,Villarreal,4,1,2,0,3,Real Madrid,Villarreal,Jorge Figueroa Vázquez
2023-12-18T20:00:00Z,17,Girona,Alavés,3,0,2,0,3,Girona,Alavés,Francisco Hernández Maeso
2023-12-19T18:00:00Z,18,Rayo Vallecano,Valencia,0,1,0,0,1,Valencia,Rayo Vallecano,Javier Alberola Rojas
2023-12-19T20:30:00Z,18,Atleti,Getafe,3,3,1,0,0,DRAW,DRAW,José Munuera Montero
2023-12-19T20:30:00Z,18,Granada,Sevilla FC,0,3,0,2,3,Sevilla FC,Granada,Mateo Busquets Ferrer
2023-12-20T18:00:00Z,18,Barça,Almería,3,2,1,1,1,Barça,Almería,Guillermo Cuadra Fernández
2023-12-20T20:30:00Z,18,Athletic,Las Palmas,1,0,0,0,1,Athletic,Las Palmas,Juan Martínez Munuera
2023-12-20T20:30:00Z,18,Villarreal,Celta,3,2,2,0,1,Villarreal,Celta,César Soto Grado
2023-12-21T18:00:00Z,18,Real Betis,Girona,1,1,0,1,0,DRAW,DRAW,Ricardo de Burgos
2023-12-21T18:00:00Z,18,Cádiz CF,Real Sociedad,0,0,0,0,0,DRAW,DRAW,Javier Iglesias Villanueva
2023-12-21T20:30:00Z,18,Alavés,Real Madrid,0,1,0,0,1,Real Madrid,Alavés,Isidro Díaz de Mera
2023-12-21T20:30:00Z,18,Mallorca,Osasuna,3,2,1,1,1,Mallorca,Osasuna,Mario Melero López
2023-12-23T15:15:00Z,4,Atleti,Sevilla FC,1,0,0,0,1,Atleti,Sevilla FC,
2024-01-02T16:00:00Z,19,Getafe,Rayo Vallecano,0,2,0,1,2,Rayo Vallecano,Getafe,Jorge Figueroa Vázquez
2024-01-02T18:15:00Z,19,Real Sociedad,Alavés,1,1,0,0,0,DRAW,DRAW,Víctor García Verdura
2024-01-02T20:30:00Z,19,Valencia,Villarreal,3,1,2,0,2,Valencia,Villarreal,Jesús Gil Manzano
2024-01-03T16:00:00Z,19,Granada,Cádiz CF,2,0,1,0,2,Granada,Cádiz CF,Juan Pulido Santana
2024-01-03T18:15:00Z,19,Celta,Real Betis,2,1,1,1,1,Celta,Real Betis,Miguel Ortiz Arias
2024-01-03T18:15:00Z,19,Real Madrid,Mallorca,1,0,0,0,1,Real Madrid,Mallorca,Alejandro Muñiz Ruiz
2024-01-03T20:30:00Z,19,Girona,Atleti,4,3,3,2,1,Girona,Atleti,Alejandro Hernández Hernández
2024-01-04T16:00:00Z,19,Osasuna,Almería,1,0,1,0,1,Osasuna,Almería,César Soto Grado
2024-01-04T18:15:00Z,19,Sevilla FC,Athletic,0,2,0,1,2,Athletic,Sevilla FC,José Sánchez Martínez
2024-01-04T20:30:00Z,19,Las Palmas,Barça,1,2,1,0,1,Barça,Las Palmas,Pablo González Fuertes
2024-01-12T20:00:00Z,20,Sevilla FC,Alavés,2,3,0,2,1,Alavés,Sevilla FC,Alejandro Hernández Hernández
2024-01-13T13:00:00Z,20,Las Palmas,Villarreal,3,0,1,0,3,Las Palmas,Villarreal,Javier Iglesias Villanueva
2024-01-13T15:15:00Z,20,Mallorca,Celta,1,1,1,1,0,DRAW,DRAW,Víctor García Verdura
2024-01-13T17:30:00Z,20,Athletic,Real Sociedad,2,1,2,0,1,Athletic,Real Sociedad,José Munuera Montero
2024-01-13T20:00:00Z,20,Real Betis,Granada,1,0,0,0,1,Real Betis,Granada,Guillermo Cuadra Fernández
2024-01-14T13:00:00Z,20,Almería,Girona,0,0,0,0,0,DRAW,DRAW,Mateo Busquets Ferrer
2024-01-14T15:15:00Z,20,Cádiz CF,Valencia,1,4,1,1,3,Valencia,Cádiz CF,Isidro Díaz de Mera
2024-01-19T20:00:00Z,21,Alavés,Cádiz CF,1,0,0,0,1,Alavés,Cádiz CF,Alejandro Muñiz Ruiz
2024-01-20T13:00:00Z,21,Rayo Vallecano,Las Palmas,0,2,0,1,2,Las Palmas,Rayo Vallecano,Mario Melero López
2024-01-20T15:15:00Z,21,Villarreal,Mallorca,1,1,1,0,0,DRAW,DRAW,Miguel Ortiz Arias
2024-01-20T17:30:00Z,21,Valencia,Athletic,1,0,0,0,1,Valencia,Athletic,Juan Pulido Santana
2024-01-20T20:00:00Z,21,Celta,Real Sociedad,0,1,0,1,1,Real Sociedad,Celta,Jorge Figueroa Vázquez
2024-01-21T13:00:00Z,21,Osasuna,Getafe,3,2,2,0,1,Osasuna,Getafe,José Sánchez Martínez
2024-01-21T15:15:00Z,21,Real Madrid,Almería,3,2,0,2,1,Real Madrid,Almería,Francisco Hernández Maeso
2024-01-21T17:30:00Z,21,Real Betis,Barça,2,4,0,1,2,Barça,Real Betis,Jesús Gil Manzano
2024-01-21T20:00:00Z,21,Girona,Sevilla FC,5,1,3,1,4,Girona,Sevilla FC,Pablo González Fuertes
2024-01-22T20:00:00Z,21,Granada,Atleti,0,1,0,0,1,Atleti,Granada,Juan Martínez Munuera
2024-01-26T20:00:00Z,22,Almería,Alavés,0,3,0,1,3,Alavés,Almería,Miguel Ortiz Arias
2024-01-27T13:00:00Z,22,Real Sociedad,Rayo Vallecano,0,0,0,0,0,DRAW,DRAW,Alejandro Hernández Hernández
2024-01-27T15:15:00Z,22,Las Palmas,Real Madrid,1,2,0,0,1,Real Madrid,Las Palmas,César Soto Grado
2024-01-27T17:30:00Z,22,Barça,Villarreal,3,5,0,1,2,Villarreal,Barça,José Munuera Montero
2024-01-27T20:00:00Z,22,Mallorca,Real Betis,0,1,0,1,1,Real Betis,Mallorca,Javier Iglesias Villanueva
2024-01-28T13:00:00Z,22,Celta,Girona,0,1,0,1,1,Girona,Celta,Mario Melero López
2024-01-28T15:15:00Z,22,Cádiz CF,Athletic,0,0,0,0,0,DRAW,DRAW,Mateo Busquets Ferrer
2024-01-28T17:30:00Z,22,Sevilla FC,Osasuna,1,1,1,0,0,DRAW,DRAW,Guillermo Cuadra Fernández
2024-01-28T20:00:00Z,22,Atleti,Valencia,2,0,1,0,2,Atleti,Valencia,Ricardo de Burgos
2024-01-29T20:00:00Z,22,Getafe,Granada,2,0,2,0,2,Getafe,Granada,Víctor García Verdura
2024-01-31T18:00:00Z,20,Barça,Osasuna,1,0,0,0,1,Barça,Osasuna,Jorge Figueroa Vázquez
2024-01-31T20:00:00Z,20,Atleti,Rayo Vallecano,2,1,1,1,1,Atleti,Rayo Vallecano,César Soto Grado
2024-02-01T20:00:00Z,20,Getafe,Real Madrid,0,2,0,1,2,Real Madrid,Getafe,Ricardo de Burgos
2024-02-02T20:00:00Z,23,Athletic,Mallorca,4,0,2,0,4,Athletic,Mallorca,Jorge Figueroa Vázquez
2024-02-03T13:00:00Z,23,Valencia,Almería,2,1,2,0,1,Valencia,Almería,Alejandro Muñiz Ruiz
2024-02-03T15:15:00Z,23,Granada,Las Palmas,1,1,1,0,0,DRAW,DRAW,Mateo Busquets Ferrer
2024-02-03T17:30:00Z,23,Alavés,Barça,1,3,0,1,2,Barça,Alavés,Juan Martínez Munuera
2024-02-03T20:00:00Z,23,Girona,Real Sociedad,0,0,0,0,0,DRAW,DRAW,Jesús Gil Manzano
2024-02-04T13:00:00Z,23,Villarreal,Cádiz CF,0,0,0,0,0,DRAW,DRAW,Pablo González Fuertes
2024-02-04T15:15:00Z,23,Osasuna,Celta,0,3,0,2,3,Celta,Osasuna,Javier Alberola Rojas
2024-02-04T17:30:00Z,23,Real Betis,Getafe,1,1,1,1,0,DRAW,DRAW,Juan Pulido Santana
2024-02-04T20:00:00Z,23,Real Madrid,Atleti,1,1,1,0,0,DRAW,DRAW,José Sánchez Martínez
2024-02-05T20:00:00Z,23,Rayo Vallecano,Sevilla FC,1,2,1,2,1,Sevilla FC,Rayo Vallecano,Francisco Hernández Maeso
2024-02-09T20:00:00Z,24,Cádiz CF,Real Betis,0,2,0,1,2,Real Betis,Cádiz CF,Ricardo de Burgos
2024-02-10T13:00:00Z,24,Alavés,Villarreal,1,1,1,1,0,DRAW,DRAW,Mario Melero López
2024-02-10T15:15:00Z,24,Real Sociedad,Osasuna,0,1,0,0,1,Osasuna,Real Sociedad,Isidro Díaz de Mera
2024-02-10T17:30:00Z,24,Real Madrid,Girona,4,0,2,0,4,Real Madrid,Girona,Juan Martínez Munuera
2024-02-10T20:00:00Z,24,Las Palmas,Valencia,2,0,0,0,2,Las Palmas,Valencia,Guillermo Cuadra Fernández
2024-02-11T13:00:00Z,24,Getafe,Celta,3,2,2,0,1,Getafe,Celta,Alejandro Hernández Hernández
2024-02-11T15:15:00Z,24,Mallorca,Rayo Vallecano,2,1,0,0,1,Mallorca,Rayo Vallecano,José Munuera Montero
2024-02-11T17:30:00Z,24,Sevilla FC,Atleti,1,0,1,0,1,Sevilla FC,Atleti,Javier Iglesias Villanueva
2024-02-11T20:00:00Z,24,Barça,Granada,3,3,1,1,0,DRAW,DRAW,Miguel Ortiz Arias
2024-02-12T20:00:00Z,24,Almería,Athletic,0,0,0,0,0,DRAW,DRAW,Víctor García Verdura
2024-02-16T20:00:00Z,25,Villarreal,Getafe,1,1,0,1,0,DRAW,DRAW,Javier Alberola Rojas
2024-02-17T13:00:00Z,25,Atleti,Las Palmas,5,0,2,0,5,Atleti,Las Palmas,Jorge Figueroa Vázquez
2024-02-17T15:15:00Z,25,Osasuna,Cádiz CF,2,0,0,0,2,Osasuna,Cádiz CF,Francisco Hernández Maeso
2024-02-17T17:30:00Z,25,Celta,Barça,1,2,0,1,1,Barça,Celta,Juan Pulido Santana
2024-02-17T20:00:00Z,25,Valencia,Sevilla FC,0,0,0,0,0,DRAW,DRAW,César Soto Grado
2024-02-18T13:00:00Z,25,Rayo Vallecano,Real Madrid,1,1,1,1,0,DRAW,DRAW,Alejandro Muñiz Ruiz
2024-02-18T15:15:00Z,25,Granada,Almería,1,1,0,1,0,DRAW,DRAW,Jesús Gil Manzano
2024-02-18T17:30:00Z,25,Mallorca,Real Sociedad,1,2,1,1,1,Real Sociedad,Mallorca,Pablo González Fuertes
2024-02-18T20:00:00Z,25,Real Betis,Alavés,0,0,0,0,0,DRAW,DRAW,Mateo Busquets Ferrer
2024-02-19T20:00:00Z,25,Athletic,Girona,3,2,1,0,1,Athletic,Girona,José Sánchez Martínez
2024-02-23T20:00:00Z,26,Real Sociedad,Villarreal,1,3,0,1,2,Villarreal,Real Sociedad,Javier Iglesias Villanueva
2024-02-24T15:15:00Z,26,Barça,Getafe,4,0,1,0,4,Barça,Getafe,Alejandro Muñiz Ruiz
2024-02-24T17:30:00Z,26,Alavés,Mallorca,1,1,0,0,0,DRAW,DRAW,Víctor García Verdura
2024-02-24T20:00:00Z,26,Almería,Atleti,2,2,1,1,0,DRAW,DRAW,Javier Alberola Rojas
2024-02-25T13:00:00Z,26,Cádiz CF,Celta,2,2,0,1,0,DRAW,DRAW,Miguel Ortiz Arias
2024-02-25T15:15:00Z,26,Real Betis,Athletic,3,1,2,1,2,Real Betis,Athletic,Guillermo Cuadra Fernández
2024-02-25T17:30:00Z,26,Las Palmas,Osasuna,1,1,0,0,0,DRAW,DRAW,José Munuera Montero
2024-02-25T20:00:00Z,26,Real Madrid,Sevilla FC,1,0,0,0,1,Real Madrid,Sevilla FC,Isidro Díaz de Mera
2024-02-26T20:00:00Z,26,Girona,Rayo Vallecano,3,0,0,0,3,Girona,Rayo Vallecano,Ricardo de Burgos
2024-03-01T20:00:00Z,27,Celta,Almería,1,0,0,0,1,Celta,Almería,José Sánchez Martínez
2024-03-02T13:00:00Z,27,Sevilla FC,Real Sociedad,3,2,2,1,1,Sevilla FC,Real Sociedad,Mateo Busquets Ferrer
2024-03-02T15:15:00Z,27,Rayo Vallecano,Cádiz CF,1,1,0,0,0,DRAW,DRAW,Javier Alberola Rojas
2024-03-02T17:30:00Z,27,Getafe,Las Palmas,3,3,3,1,0,DRAW,DRAW,Pablo González Fuertes
2024-03-02T20:00:00Z,27,Valencia,Real Madrid,2,2,2,1,0,DRAW,DRAW,Jesús Gil Manzano
2024-03-03T13:00:00Z,27,Villarreal,Granada,5,1,3,0,4,Villarreal,Granada,Juan Pulido Santana
2024-03-03T15:15:00Z,27,Atleti,Real Betis,2,1,2,0,1,Atleti,Real Betis,César Soto Grado
2024-03-03T17:30:00Z,27,Mallorca,Girona,1,0,1,0,1,Mallorca,Girona,Francisco Hernández Maeso
2024-03-03T20:00:00Z,27,Athletic,Barça,0,0,0,0,0,DRAW,DRAW,Alejandro Hernández Hernández
2024-03-04T20:00:00Z,27,Osasuna,Alavés,1,0,0,0,1,Osasuna,Alavés,Jorge Figueroa Vázquez
2024-03-08T20:00:00Z,28,Barça,Mallorca,1,0,0,0,1,Barça,Mallorca,Javier Iglesias Villanueva
2024-03-09T13:00:00Z,28,Valencia,Getafe,1,0,1,0,1,Valencia,Getafe,Juan Pulido Santana
2024-03-09T15:15:00Z,28,Cádiz CF,Atleti,2,0,1,0,2,Cádiz CF,Atleti,Pablo González Fuertes
2024-03-09T17:30:00Z,28,Granada,Real Sociedad,2,3,2,1,1,Real Sociedad,Granada,Juan Martínez Munuera
2024-03-09T20:00:00Z,28,Girona,Osasuna,2,0,1,0,2,Girona,Osasuna,Mateo Busquets Ferrer
2024-03-10T13:00:00Z,28,Alavés,Rayo Vallecano,1,0,1,0,1,Alavés,Rayo Vallecano,José Munuera Montero
2024-03-10T15:15:00Z,28,Las Palmas,Athletic,0,2,0,1,2,Athletic,Las Palmas,Miguel Ortiz Arias
2024-03-10T17:30:00Z,28,Real Madrid,Celta,4,0,1,0,4,Real Madrid,Celta,Mario Melero López
2024-03-10T20:00:00Z,28,Real Betis,Villarreal,2,3,2,1,1,Villarreal,Real Betis,Alejandro Hernández Hernández
